"day","diet1","diet2","diet3","diet4","diet5","diet6","diet7","diet8","diet9","diet10"
1,0.03,0.17,0.17,0.17,0.03,0,0,0,0,0
365,0.03,0.17,0.17,0.17,0.03,0,0,0,0,0
