"","Simulation","Sp","input_folder","fit.to","Init_W","fitting_value","First_day","Last_day","Ind","Oxycal","calc.nut","calc.contaminant","X_Pred","CONTEQ","calc.pop_mort","calc.spawn"
"24","2015_Mid-Summer_Upper Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2015_Mid-Summer_Upper Russian River_Coho_Age_0","Weight",1.611731,1.891717,1,30,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"25","2015_Mid-Summer_Lower Ptarmigan Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2015_Mid-Summer_Lower Ptarmigan Creek_Coho_Age_1","Weight",5.0419971,6.192925,1,26,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"26","2015_Mid-Summer_Middle Ptarmigan Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2015_Mid-Summer_Middle Ptarmigan Creek_Coho_Age_1","Weight",5.5635839,7.415637,1,26,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"27","2015_Mid-Summer_Lower Kenai River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2015_Mid-Summer_Lower Kenai River_Coho_Age_0","Weight",1.1686376,1.349655,1,21,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"28","2015_Mid-Summer_Middle Kenai River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2015_Mid-Summer_Middle Kenai River_Coho_Age_0","Weight",1.0364518,1.258437,1,24,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"29","2016_Mid-Summer_Lower Beaver Creek_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Mid-Summer_Lower Beaver Creek_Chinook_Age_0","Weight",1.4516947,1.941241,1,28,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"30","2016_Mid-Summer_Middle Beaver Creek_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Mid-Summer_Middle Beaver Creek_Chinook_Age_0","Weight",1.649657,2.411822,1,30,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"31","2016_Mid-Summer_Lower Ptarmigan Creek_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Mid-Summer_Lower Ptarmigan Creek_Chinook_Age_0","Weight",3.1991386,4.534506,1,40,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"32","2016_Mid-Summer_Lower Kenai River_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Mid-Summer_Lower Kenai River_Chinook_Age_0","Weight",2.1517724,2.181339,1,34,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"33","2016_Mid-Summer_Lower Beaver Creek_Coho_Age_0","Coho salmon (adult)","inputs/coho/2016_Mid-Summer_Lower Beaver Creek_Coho_Age_0","Weight",1.850646,1.681887,1,28,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
