"day","temperature"
1,14.1
2,15
3,12.6
4,13.2
5,12.9
6,12.3
7,12.2
8,12.1
9,9.4
10,11.1
11,11.9
12,11.3
13,10.7
14,11.8
15,12.4
16,11.4
17,11.1
18,11.8
19,12.7
20,12.5
21,11.5
22,12.7
23,12.6
24,12.1
25,11.6
26,10.8
27,10.6
28,11.5
29,11.9
30,12.5
31,11.9
32,12.6
33,12.8
34,12.1
35,13
36,13
37,12.6
