"day","temperature"
1,"8.883097879"
2,"8.883097879"
3,"8.883097879"
4,"8.883097879"
5,"11.3098689"
6,"11.3098689"
7,"11.3098689"
8,"11.3098689"
9,"11.3098689"
10,"11.3098689"
11,"11.3098689"
12,"11.3098689"
13,"11.3098689"
14,"11.3098689"
15,"11.3098689"
16,"11.3098689"
17,"11.3098689"
18,"11.3098689"
19,"11.3098689"
20,"11.3098689"
21,"11.3098689"
22,"11.3098689"
23,"11.3098689"
24,"11.3098689"
25,"11.3098689"
26,"11.3098689"
27,"11.3098689"
28,"11.3098689"
29,"11.3098689"
30,"11.3098689"
31,"11.3098689"
32,"11.3098689"
33,"11.3098689"
34,"11.3098689"
35,"12.84256607"
36,"12.84256607"
37,"12.84256607"
38,"12.84256607"
39,"12.84256607"
40,"12.84256607"
41,"12.84256607"
42,"12.84256607"
43,"12.84256607"
44,"12.84256607"
45,"12.84256607"
46,"12.84256607"
47,"12.84256607"
48,"12.84256607"
49,"12.84256607"
50,"12.84256607"
51,"12.84256607"
52,"12.84256607"
53,"12.84256607"
54,"12.84256607"
55,"12.84256607"
56,"12.84256607"
57,"12.84256607"
58,"12.84256607"
59,"12.84256607"
60,"12.84256607"
61,"12.84256607"
62,"12.84256607"
63,"12.84256607"
64,"12.84256607"
65,"12.84256607"
66,"12.39552945"
67,"12.39552945"
68,"12.39552945"
69,"12.39552945"
70,"12.39552945"
71,"12.39552945"
72,"12.39552945"
73,"12.39552945"
74,"12.39552945"
75,"12.39552945"
76,"12.39552945"
77,"12.39552945"
78,"12.39552945"
79,"12.39552945"
80,"12.39552945"
81,"12.39552945"
82,"12.39552945"
83,"12.39552945"
84,"12.39552945"
85,"12.39552945"
86,"12.39552945"
87,"12.39552945"
88,"12.39552945"
89,"12.39552945"
90,"12.39552945"
91,"12.39552945"
92,"12.39552945"
93,"12.39552945"
94,"12.39552945"
95,"12.39552945"
96,"12.39552945"
97,"9.713309099"
98,"9.713309099"
99,"9.713309099"
100,"9.713309099"
101,"9.713309099"
102,"9.713309099"
103,"9.713309099"
104,"9.713309099"
105,"9.713309099"
106,"9.713309099"
107,"9.713309099"
108,"9.713309099"
109,"9.713309099"
110,"9.713309099"
111,"9.713309099"
112,"9.713309099"
113,"9.713309099"
