"","Parameter","test_sim","test_sim_2"
"1","Final weight (g)","5.000","5.000"
"2","OK. Energy budget balanced.","0.000","0.000"
"3","p-value","2.2742","1.4764"
"4","Run time (s)","0.263","0.316"
"5","Total consumption (g)","10.849","8.627"
