"NRun","Run_Name","Species_Num","Species_txt","Initial_W","fit.to","fit.to.value","First_day","Last_day","N_indiv","Oxycal","calc.pop_mort","calc.spawn","calc.nut","calc.contaminant","Init_pred_conc","contam_eq","T_File","Diet_File","Prey_E_File","Indigest_Prey_File","Pred_E_File","Mort_File","Reprod_File","Contam_Prey_C_File","Contam_assim_File","Contam_TE_File","Phos_Ae_File","Phos_Co_Pred_File","Phos_Co_Prey_File","Nit_Ae_File","Nit_Co_Pred_File","Nit_Co_Prey_File","FB4_Log_File"
222,"20minus_pval_rcp85_2060_2069_Lower Kenai River_Chinook_Age_0","21","Chinook salmon (adult)",1.2763597,"p-value",0.2749592,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/chnk/rcp85_2060_2069_Lower Kenai River_Chinook_Age_0/Temperature.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Kenai River_Chinook_Age_0/Diet_prop.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Kenai River_Chinook_Age_0/Prey_E.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Kenai River_Chinook_Age_0/Indigestible_Prey.csv","all_projected_sims/chnk/rcp85_2060_2069_Lower Kenai River_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
223,"mean_pval_rcp85_2060_2069_Middle Kenai River_Chinook_Age_0","21","Chinook salmon (adult)",2.0957217,"p-value",0.343699,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Temperature.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Diet_prop.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Prey_E.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Indigestible_Prey.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
224,"20plus_pval_rcp85_2060_2069_Middle Kenai River_Chinook_Age_0","21","Chinook salmon (adult)",2.0957217,"p-value",0.4124388,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Temperature.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Diet_prop.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Prey_E.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Indigestible_Prey.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
225,"20minus_pval_rcp85_2060_2069_Middle Kenai River_Chinook_Age_0","21","Chinook salmon (adult)",2.0957217,"p-value",0.2749592,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Temperature.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Diet_prop.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Prey_E.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Indigestible_Prey.csv","all_projected_sims/chnk/rcp85_2060_2069_Middle Kenai River_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
226,"mean_pval_rcp85_2060_2069_Lower Kenai River_Coho_Age_0","22","Coho salmon (adult)",1.1686376,"p-value",0.15591425,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
227,"20plus_pval_rcp85_2060_2069_Lower Kenai River_Coho_Age_0","22","Coho salmon (adult)",1.1686376,"p-value",0.1870971,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
228,"20minus_pval_rcp85_2060_2069_Lower Kenai River_Coho_Age_0","22","Coho salmon (adult)",1.1686376,"p-value",0.1247314,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Lower Kenai River_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
229,"mean_pval_rcp85_2060_2069_Middle Kenai River_Coho_Age_0","22","Coho salmon (adult)",1.0364518,"p-value",0.15591425,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
230,"20plus_pval_rcp85_2060_2069_Middle Kenai River_Coho_Age_0","22","Coho salmon (adult)",1.0364518,"p-value",0.1870971,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
231,"20minus_pval_rcp85_2060_2069_Middle Kenai River_Coho_Age_0","22","Coho salmon (adult)",1.0364518,"p-value",0.1247314,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Temperature.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Diet_prop.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Prey_E.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Indigestible_Prey.csv","all_projected_sims/coho/rcp85_2060_2069_Middle Kenai River_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
