Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Tue Jun 28 22:21:29 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_old_parameters.csv,20plus_pval_rcp60_2010_2019_Lower Kenai River_Chinook_Age_0,1.2763597,p-value,0.4124388,1,101,1,13560,0.412439,23.971,4.898,1.000,4.898,23.971,1.597,0.000,all_projected_sims/chnk/rcp60_2010_2019_Lower Kenai River_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2010_2019_Lower Kenai River_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2010_2019_Lower Kenai River_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2010_2019_Lower Kenai River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:32 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_old_parameters.csv,20minus_pval_rcp60_2010_2019_Lower Kenai River_Chinook_Age_0,1.2763597,p-value,0.2749592,1,101,1,13560,0.274959,11.020,2.095,1.000,2.095,11.020,3.316,0.000,all_projected_sims/chnk/rcp60_2010_2019_Lower Kenai River_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2010_2019_Lower Kenai River_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2010_2019_Lower Kenai River_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2010_2019_Lower Kenai River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:35 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_old_parameters.csv,mean_pval_rcp60_2010_2019_Middle Kenai River_Chinook_Age_0,2.0957217,p-value,0.343699,1,101,1,13560,0.343699,19.641,4.497,1.000,4.497,19.641,2.310,0.000,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:38 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_old_parameters.csv,20plus_pval_rcp60_2010_2019_Middle Kenai River_Chinook_Age_0,2.0957217,p-value,0.4124388,1,101,1,13560,0.412439,27.277,6.282,1.000,6.282,27.277,1.469,0.000,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:40 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_old_parameters.csv,20minus_pval_rcp60_2010_2019_Middle Kenai River_Chinook_Age_0,2.0957217,p-value,0.2749592,1,101,1,13560,0.274959,13.475,3.095,1.000,3.095,13.475,1.221,0.000,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2010_2019_Middle Kenai River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:43 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,22,Coho salmon (adult),design_projected_old_parameters.csv,mean_pval_rcp60_2010_2019_Lower Kenai River_Coho_Age_0,1.1686376,p-value,0.15591425,1,101,1,13560,0.155914,6.774,2.707,1.000,2.707,6.774,2.937,0.000,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Temperature.csv,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Diet_prop.csv,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Prey_E.csv,3,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:46 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,22,Coho salmon (adult),design_projected_old_parameters.csv,20plus_pval_rcp60_2010_2019_Lower Kenai River_Coho_Age_0,1.1686376,p-value,0.1870971,1,101,1,13560,0.187097,9.721,4.041,1.000,4.041,9.721,2.827,0.000,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Temperature.csv,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Diet_prop.csv,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Prey_E.csv,3,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:49 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,22,Coho salmon (adult),design_projected_old_parameters.csv,20minus_pval_rcp60_2010_2019_Lower Kenai River_Coho_Age_0,1.1686376,p-value,0.1247314,1,101,1,13560,0.124731,4.492,1.723,1.000,1.723,4.492,2.784,0.000,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Temperature.csv,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Diet_prop.csv,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Prey_E.csv,3,all_projected_sims/coho/rcp60_2010_2019_Lower Kenai River_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:52 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,22,Coho salmon (adult),design_projected_old_parameters.csv,mean_pval_rcp60_2010_2019_Middle Kenai River_Coho_Age_0,1.0364518,p-value,0.15591425,1,101,1,13560,0.155914,5.599,2.468,1.000,2.468,5.599,2.659,0.000,all_projected_sims/coho/rcp60_2010_2019_Middle Kenai River_Coho_Age_0/Temperature.csv,all_projected_sims/coho/rcp60_2010_2019_Middle Kenai River_Coho_Age_0/Diet_prop.csv,all_projected_sims/coho/rcp60_2010_2019_Middle Kenai River_Coho_Age_0/Prey_E.csv,3,all_projected_sims/coho/rcp60_2010_2019_Middle Kenai River_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 22:21:55 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,22,Coho salmon (adult),design_projected_old_parameters.csv,20plus_pval_rcp60_2010_2019_Middle Kenai River_Coho_Age_0,1.0364518,p-value,0.1870971,1,101,1,13560,0.187097,7.942,3.590,1.000,3.590,7.942,2.801,0.000,all_projected_sims/coho/rcp60_2010_2019_Middle Kenai River_Coho_Age_0/Temperature.csv,all_projected_sims/coho/rcp60_2010_2019_Middle Kenai River_Coho_Age_0/Diet_prop.csv,all_projected_sims/coho/rcp60_2010_2019_Middle Kenai River_Coho_Age_0/Prey_E.csv,3,all_projected_sims/coho/rcp60_2010_2019_Middle Kenai River_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
