"NRun","Run_Name","Species_Num","Species_txt","Initial_W","fit.to","fit.to.value","First_day","Last_day","N_indiv","Oxycal","calc.pop_mort","calc.spawn","calc.nut","calc.contaminant","Init_pred_conc","contam_eq","T_File","Diet_File","Prey_E_File","Indigest_Prey_File","Pred_E_File","Mort_File","Reprod_File","Contam_Prey_C_File","Contam_assim_File","Contam_TE_File","Phos_Ae_File","Phos_Co_Pred_File","Phos_Co_Prey_File","Nit_Ae_File","Nit_Co_Pred_File","Nit_Co_Prey_File","FB4_Log_File"
1,"mean_pval_rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",3.93987445,"p-value",0.360248384615385,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
2,"20plus_pval_rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",3.93987445,"p-value",0.432298061538462,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
3,"20minus_pval_rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",3.93987445,"p-value",0.288198707692308,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
4,"mean_pval_rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",5.07211545,"p-value",0.360248384615385,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
5,"20plus_pval_rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",5.07211545,"p-value",0.432298061538462,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
6,"20minus_pval_rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",5.07211545,"p-value",0.288198707692308,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Middle Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
7,"mean_pval_rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",6.6310386,"p-value",0.360248384615385,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
8,"20plus_pval_rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",6.6310386,"p-value",0.432298061538462,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
9,"20minus_pval_rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",6.6310386,"p-value",0.288198707692308,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Temperature.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Diet_prop.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Prey_E.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","all_projected_sims/coho/rcp60_2030_2039_Upper Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
10,"mean_pval_rcp60_2030_2039_Lower Kenai River_Chinook_Age_0","21","Chinook salmon (adult)",1.2763597,"p-value",0.343694,1,101,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","all_projected_sims/chnk/rcp60_2030_2039_Lower Kenai River_Chinook_Age_0/Temperature.csv","all_projected_sims/chnk/rcp60_2030_2039_Lower Kenai River_Chinook_Age_0/Diet_prop.csv","all_projected_sims/chnk/rcp60_2030_2039_Lower Kenai River_Chinook_Age_0/Prey_E.csv","all_projected_sims/chnk/rcp60_2030_2039_Lower Kenai River_Chinook_Age_0/Indigestible_Prey.csv","all_projected_sims/chnk/rcp60_2030_2039_Lower Kenai River_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_projected_models.csv"
