Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Sun Jun 19 14:44:00 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,21,Chinook salmon (adult),design_2015_2016_final.csv,2016_Early Summer_Lower Kenai River_Chinook_Age_0,1.1817263,Weight,2.151772,1,29,1,13560,0.48053,4.986,2.152,1.000,2.152,4.986,0.482,0.000,chnk/2016_Early Summer_Lower Kenai River_Chinook_Age_0/Temperature.csv,chnk/2016_Early Summer_Lower Kenai River_Chinook_Age_0/Diet_prop.csv,chnk/2016_Early Summer_Lower Kenai River_Chinook_Age_0/Prey_E.csv,3,chnk/2016_Early Summer_Lower Kenai River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:00 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2016_Early Summer_Lower Beaver Creek_Coho_Age_1,4.0212603,Weight,5.796836,1,28,1,13560,0.42807,10.489,5.797,1.000,5.797,10.489,0.559,0.000,coho/2016_Early Summer_Lower Beaver Creek_Coho_Age_1/Temperature.csv,coho/2016_Early Summer_Lower Beaver Creek_Coho_Age_1/Diet_prop.csv,coho/2016_Early Summer_Lower Beaver Creek_Coho_Age_1/Prey_E.csv,3,coho/2016_Early Summer_Lower Beaver Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:01 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2016_Early Summer_Middle Beaver Creek_Coho_Age_1,4.9312492,Weight,5.963891,1,26,1,13560,0.34375,8.422,5.964,1.000,5.964,8.422,0.374,0.000,coho/2016_Early Summer_Middle Beaver Creek_Coho_Age_1/Temperature.csv,coho/2016_Early Summer_Middle Beaver Creek_Coho_Age_1/Diet_prop.csv,coho/2016_Early Summer_Middle Beaver Creek_Coho_Age_1/Prey_E.csv,3,coho/2016_Early Summer_Middle Beaver Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:02 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2016_Early Summer_Upper Beaver Creek_Coho_Age_1,6.6310386,Weight,7.870698,1,27,1,13560,0.348572,11.047,7.871,1.000,7.871,11.047,0.510,0.000,coho/2016_Early Summer_Upper Beaver Creek_Coho_Age_1/Temperature.csv,coho/2016_Early Summer_Upper Beaver Creek_Coho_Age_1/Diet_prop.csv,coho/2016_Early Summer_Upper Beaver Creek_Coho_Age_1/Prey_E.csv,3,coho/2016_Early Summer_Upper Beaver Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:02 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2016_Early Summer_Lower Russian River_Coho_Age_1,3.6564489,Weight,5.8031,1,48,1,13560,0.370995,13.689,5.803,1.000,5.803,13.689,0.721,0.000,coho/2016_Early Summer_Lower Russian River_Coho_Age_1/Temperature.csv,coho/2016_Early Summer_Lower Russian River_Coho_Age_1/Diet_prop.csv,coho/2016_Early Summer_Lower Russian River_Coho_Age_1/Prey_E.csv,3,coho/2016_Early Summer_Lower Russian River_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:03 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2016_Early Summer_Middle Russian River_Coho_Age_1,4.6537489,Weight,6.812922,1,29,1,13560,0.453751,13.316,6.813,1.000,6.813,13.316,0.522,0.000,coho/2016_Early Summer_Middle Russian River_Coho_Age_1/Temperature.csv,coho/2016_Early Summer_Middle Russian River_Coho_Age_1/Diet_prop.csv,coho/2016_Early Summer_Middle Russian River_Coho_Age_1/Prey_E.csv,3,coho/2016_Early Summer_Middle Russian River_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:04 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2016_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,3.9226176,Weight,5.532359,1,26,1,13560,0.39267,8.445,5.532,1.000,5.532,8.445,0.407,0.000,coho/2016_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Temperature.csv,coho/2016_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Diet_prop.csv,coho/2016_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Prey_E.csv,3,coho/2016_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:05 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,21,Chinook salmon (adult),design_2015_2016_final.csv,2015_Mid-Summer_Middle Kenai River_Chinook_Age_0,2.0957217,Weight,2.732949,1,24,1,13560,0.380951,4.680,2.733,1.000,2.733,4.680,0.401,0.000,chnk/2015_Mid-Summer_Middle Kenai River_Chinook_Age_0/Temperature.csv,chnk/2015_Mid-Summer_Middle Kenai River_Chinook_Age_0/Diet_prop.csv,chnk/2015_Mid-Summer_Middle Kenai River_Chinook_Age_0/Prey_E.csv,3,chnk/2015_Mid-Summer_Middle Kenai River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:05 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Mid-Summer_Lower Beaver Creek_Coho_Age_0,0.8069425,Weight,1.140439,1,38,1,13560,0.330688,3.555,1.140,1.000,1.140,3.555,0.478,0.000,coho/2015_Mid-Summer_Lower Beaver Creek_Coho_Age_0/Temperature.csv,coho/2015_Mid-Summer_Lower Beaver Creek_Coho_Age_0/Diet_prop.csv,coho/2015_Mid-Summer_Lower Beaver Creek_Coho_Age_0/Prey_E.csv,3,coho/2015_Mid-Summer_Lower Beaver Creek_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 19 14:44:06 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Mid-Summer_Lower Beaver Creek_Coho_Age_1,4.2417509,Weight,6.320562,1,38,1,13560,0.408325,14.893,6.321,1.000,6.321,14.893,0.476,0.000,coho/2015_Mid-Summer_Lower Beaver Creek_Coho_Age_1/Temperature.csv,coho/2015_Mid-Summer_Lower Beaver Creek_Coho_Age_1/Diet_prop.csv,coho/2015_Mid-Summer_Lower Beaver Creek_Coho_Age_1/Prey_E.csv,3,coho/2015_Mid-Summer_Lower Beaver Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
