"sim.start","sim.end","sim_name","SimDay"
146,259,"Middle Beaver Creek_Chinook_Age_0",1
146,259,"Middle Beaver Creek_Chinook_Age_0",2
146,259,"Middle Beaver Creek_Chinook_Age_0",3
146,259,"Middle Beaver Creek_Chinook_Age_0",4
146,259,"Middle Beaver Creek_Chinook_Age_0",5
146,259,"Middle Beaver Creek_Chinook_Age_0",6
146,259,"Middle Beaver Creek_Chinook_Age_0",7
146,259,"Middle Beaver Creek_Chinook_Age_0",8
146,259,"Middle Beaver Creek_Chinook_Age_0",9
146,259,"Middle Beaver Creek_Chinook_Age_0",10
146,259,"Middle Beaver Creek_Chinook_Age_0",11
146,259,"Middle Beaver Creek_Chinook_Age_0",12
146,259,"Middle Beaver Creek_Chinook_Age_0",13
146,259,"Middle Beaver Creek_Chinook_Age_0",14
146,259,"Middle Beaver Creek_Chinook_Age_0",15
146,259,"Middle Beaver Creek_Chinook_Age_0",16
146,259,"Middle Beaver Creek_Chinook_Age_0",17
146,259,"Middle Beaver Creek_Chinook_Age_0",18
146,259,"Middle Beaver Creek_Chinook_Age_0",19
146,259,"Middle Beaver Creek_Chinook_Age_0",20
146,259,"Middle Beaver Creek_Chinook_Age_0",21
146,259,"Middle Beaver Creek_Chinook_Age_0",22
146,259,"Middle Beaver Creek_Chinook_Age_0",23
146,259,"Middle Beaver Creek_Chinook_Age_0",24
146,259,"Middle Beaver Creek_Chinook_Age_0",25
146,259,"Middle Beaver Creek_Chinook_Age_0",26
146,259,"Middle Beaver Creek_Chinook_Age_0",27
146,259,"Middle Beaver Creek_Chinook_Age_0",28
146,259,"Middle Beaver Creek_Chinook_Age_0",29
146,259,"Middle Beaver Creek_Chinook_Age_0",30
146,259,"Middle Beaver Creek_Chinook_Age_0",31
146,259,"Middle Beaver Creek_Chinook_Age_0",32
146,259,"Middle Beaver Creek_Chinook_Age_0",33
146,259,"Middle Beaver Creek_Chinook_Age_0",34
146,259,"Middle Beaver Creek_Chinook_Age_0",35
146,259,"Middle Beaver Creek_Chinook_Age_0",36
146,259,"Middle Beaver Creek_Chinook_Age_0",37
146,259,"Middle Beaver Creek_Chinook_Age_0",38
146,259,"Middle Beaver Creek_Chinook_Age_0",39
146,259,"Middle Beaver Creek_Chinook_Age_0",40
146,259,"Middle Beaver Creek_Chinook_Age_0",41
146,259,"Middle Beaver Creek_Chinook_Age_0",42
146,259,"Middle Beaver Creek_Chinook_Age_0",43
146,259,"Middle Beaver Creek_Chinook_Age_0",44
