"","Day","Temperature.C","Weight.g","Cum.Net.Production.g","Net.Production.J","Cum.Net.Production.J","Net.Production.g","Gross.Production.g","Cum.Gross.Production.g","Gross.Production.J","Cum.Gross.Production.J","Specific.Growth.Rate.J.g.d","Specific.Consumption.Rate.g.g.d","Gametic.Production.g","Mean.Prey.Energy.Density.J.g","Final.Predator.Energy.Density.J.g","Specific.Respiration.Rate.J.g.d","Consumption.J","Specific.Consumption.Rate.J.g.d","Specific.Growth.Rate.g.g.d","Specific.Egestion.Rate.J.g.d","Specific.Excretion.Rate.J.g.d","Cum.Cons.J","Cum.Cons.g","Specific.SDA.Rate.J.g.d","Consumption.g","Initial.Predator.Energy.Density.J.g","Cum.Gametic.Production.J","Simulation"
"1090",22,17.5,2.16570714782665,0.790510247826653,226.508686203496,4558.47049147019,0.0392751122669099,0.316622666861241,5.45092318920743,1825.36027983118,31423.2148606882,106.520538825437,0.0965804350795783,0,4995.5,5765.13538724776,166.659491145633,1025.93448301734,482.467563440033,0.021323298733948,82.1709049904852,58.265603225155,17990.8426760792,3.60140980403947,68.8510252533223,0.205371731161513,5765.09666198706,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1091",23,16.3,2.20808270696727,0.832885806967273,244.393094333347,4802.86358580353,0.0423755591406194,0.303670470133124,5.75459365934055,1750.70137342663,33173.9162341148,112.846787516309,0.0922050643951171,0,4995.5,5765.17716954907,149.484363440513,997.547233879991,460.610399185807,0.0225896882226623,79.4918875033128,53.234976716283,18988.3899099592,3.80109897106579,65.552384009389,0.199689167026322,5765.13538724776,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1092",24,15.9,2.2512791774905,0.876082277490497,249.13119151885,5051.99477732238,0.0431964705232244,0.301413530909646,6.0560071902502,1737.70240699347,34911.6186411083,112.826929323233,0.0900610902508813,0,4995.5,5765.21976126901,143.899635673846,993.416799256158,449.900176348277,0.0225857130063524,78.0038507166876,51.2035926258775,19981.8067092153,3.99996130701938,63.9661680086334,0.19886233595359,5765.17716954907,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1093",25,15.5,2.29501014220436,0.919813242204361,252.217579873601,5304.21235719598,0.0437309647138635,0.298531966040212,6.35453915629041,1721.10238998552,36632.7210310938,112.033008786919,0.0877322358510266,0,4995.5,5765.26288000021,138.536052770658,986.65998492956,438.266384193804,0.022426785864662,76.3487499797257,49.0987395716789,20968.4666941449,4.19747106278549,62.2498330848214,0.197509755766102,5765.21976126901,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1094",26,14.9,2.33869802113239,0.963501121132391,251.972849026305,5556.18520622229,0.0436878789280302,0.29076685366743,6.64530600995784,1676.34734818329,38309.0683792771,109.791605881221,0.0840979834136868,0,4995.5,5765.30595624884,131.086648426447,964.160098604797,420.111476143073,0.0219781014675649,73.7275677505295,45.9276218413579,21932.6267927497,4.39047678765883,59.5780322435174,0.193005724873345,5765.26288000021,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1095",27,15,2.38301079555651,1.00781389555651,255.580821775402,5811.76602799769,0.0443127744241214,0.297017088766656,6.94232309872449,1712.39439097409,40021.4627702512,109.283378814188,0.0842241267636207,0,4995.5,5765.34964864442,131.8414721933,983.987606374745,420.741625247667,0.0218763644908793,73.7459331186457,46.1875820753422,22916.6143991244,4.58745158625251,59.6832590461917,0.196974798593683,5765.30595624884,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1096",28,15.5,2.42819558218413,1.05299868218413,260.61427516212,6072.38030315981,0.045184786627614,0.31147495223129,7.25379805095578,1795.7620064082,41817.2247766594,109.363447135059,0.0863709342495155,0,4995.5,5765.39420084403,137.317647115192,1028.18814078516,431.466002043455,0.0218923925803341,75.1640808029677,48.3368965368725,23944.8025399096,4.79327445499141,61.2839304533638,0.205822868738897,5765.34964864442,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1097",29,15.7,2.47387136834518,1.09867446834518,263.45032672638,6335.83062988619,0.0456757861610515,0.319793136611592,7.57359118756738,1843.73349529019,43660.9582719496,108.496337222313,0.0868579949361294,0,4995.5,5765.43923716919,139.3378641082,1053.59191100829,433.899113703435,0.0217188143774023,75.4073677926246,48.9969642836376,24998.3944509179,5.00418265457269,61.6605802966593,0.210908199581281,5765.39420084403,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1098",30,15.5,2.52003488828633,1.14483798828633,266.267674202977,6602.09830408917,0.0461635199411479,0.320298237549853,7.89388942511723,1846.66002636606,45507.6182983156,107.631980227448,0.0854867021613719,0,4995.5,5765.48475439985,136.523688762908,1056.46385028452,427.048820647133,0.0215457872540181,74.3945801289354,47.842042158712,26054.8583012024,5.21566575942396,60.65652936913,0.21148310485127,5765.43923716919,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1099",31,15.4,2.56665731723056,1.19146041723056,268.918891795247,6871.01719588441,0.0466224289442385,0.32268051859271,8.21656994370994,1860.40961048811,47368.0279088037,106.712368564912,0.0845721078764297,0,4995.5,5765.53072411479,134.946873958052,1064.66425114168,422.479964896704,0.0213616992423004,73.6876117079086,47.1408259173593,27119.5225523441,5.42879042184848,59.9922847484729,0.213124662424518,5765.48475439985,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1100",32,15,2.61342182631085,1.23822492631085,269.742718274966,7140.75991415938,0.0467645090802891,0.318359957362144,8.53492990107208,1835.51411549931,49203.5420243031,105.094948384469,0.0820971797665789,0,4995.5,5765.57683392074,129.940676204538,1052.62841688714,410.116461523945,0.0210379238083213,71.8835963154281,45.0211878036452,28172.1509692312,5.63950574902036,58.1760528158648,0.210715327171883,5765.53072411479,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
"1101",33,15,2.66067544477137,1.28547854477137,272.568334286145,7413.32824844553,0.0472536184605139,0.322678686844526,8.85760858791661,1860.42876167076,51063.9707859738,104.295575839323,0.0816905446007144,0,4995.5,5765.62342598854,129.575894871798,1066.49854797845,408.085115552869,0.0208779052826189,71.5275500030729,44.798193564111,29238.6495172097,5.85299760128309,57.8879012745649,0.213491852262727,5765.57683392074,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_0"
