,sim_name,SimDay,Date
1,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,1,6/5/15
2,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,2,6/6/15
3,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,3,6/7/15
4,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,4,6/8/15
5,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,5,6/9/15
6,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,6,6/10/15
7,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,7,6/11/15
8,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,8,6/12/15
9,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,9,6/13/15
10,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,10,6/14/15
11,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,11,6/15/15
12,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,12,6/16/15
13,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,13,6/17/15
14,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,14,6/18/15
15,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,15,6/19/15
16,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,16,6/20/15
17,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,17,6/21/15
18,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,18,6/22/15
19,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,19,6/23/15
20,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,20,6/24/15
21,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,21,6/25/15
22,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,22,6/26/15
23,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,23,6/27/15
24,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,24,6/28/15
25,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,1,6/5/15
26,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,2,6/6/15
27,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,3,6/7/15
28,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,4,6/8/15
29,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,5,6/9/15
30,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,6,6/10/15
31,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,7,6/11/15
32,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,8,6/12/15
33,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,9,6/13/15
34,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,10,6/14/15
35,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,11,6/15/15
36,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,12,6/16/15
37,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,13,6/17/15
38,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,14,6/18/15
39,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,15,6/19/15
40,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,16,6/20/15
41,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,17,6/21/15
42,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,18,6/22/15
43,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,19,6/23/15
44,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,20,6/24/15
45,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,21,6/25/15
46,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,22,6/26/15
47,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,23,6/27/15
48,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,24,6/28/15
49,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,1,6/5/15
50,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,2,6/6/15
51,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,3,6/7/15
52,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,4,6/8/15
53,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,5,6/9/15
54,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,6,6/10/15
55,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,7,6/11/15
56,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,8,6/12/15
57,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,9,6/13/15
58,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,10,6/14/15
59,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,11,6/15/15
60,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,12,6/16/15
61,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,13,6/17/15
62,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,14,6/18/15
63,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,15,6/19/15
64,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,16,6/20/15
65,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,17,6/21/15
66,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,18,6/22/15
67,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,19,6/23/15
68,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,20,6/24/15
69,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,21,6/25/15
70,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,22,6/26/15
71,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,23,6/27/15
72,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,24,6/28/15
73,2015_Early Summer_Lower Kenai River_Chinook_Age_0,1,6/23/15
74,2015_Early Summer_Lower Kenai River_Chinook_Age_0,2,6/24/15
75,2015_Early Summer_Lower Kenai River_Chinook_Age_0,3,6/25/15
76,2015_Early Summer_Lower Kenai River_Chinook_Age_0,4,6/26/15
77,2015_Early Summer_Lower Kenai River_Chinook_Age_0,5,6/27/15
78,2015_Early Summer_Lower Kenai River_Chinook_Age_0,6,6/28/15
79,2015_Early Summer_Lower Kenai River_Chinook_Age_0,7,6/29/15
80,2015_Early Summer_Lower Kenai River_Chinook_Age_0,8,6/30/15
81,2015_Early Summer_Lower Kenai River_Chinook_Age_0,9,7/1/15
82,2015_Early Summer_Lower Kenai River_Chinook_Age_0,10,7/2/15
83,2015_Early Summer_Lower Kenai River_Chinook_Age_0,11,7/3/15
84,2015_Early Summer_Lower Kenai River_Chinook_Age_0,12,7/4/15
85,2015_Early Summer_Lower Kenai River_Chinook_Age_0,13,7/5/15
86,2015_Early Summer_Lower Kenai River_Chinook_Age_0,14,7/6/15
87,2015_Early Summer_Lower Kenai River_Chinook_Age_0,15,7/7/15
88,2015_Early Summer_Lower Kenai River_Chinook_Age_0,16,7/8/15
89,2015_Early Summer_Lower Kenai River_Chinook_Age_0,17,7/9/15
90,2015_Early Summer_Lower Kenai River_Chinook_Age_0,18,7/10/15
91,2015_Early Summer_Lower Kenai River_Chinook_Age_0,19,7/11/15
92,2015_Early Summer_Lower Kenai River_Chinook_Age_0,20,7/12/15
93,2015_Early Summer_Lower Kenai River_Chinook_Age_0,21,7/13/15
94,2015_Early Summer_Lower Kenai River_Chinook_Age_0,22,7/14/15
95,2015_Early Summer_Lower Kenai River_Chinook_Age_0,23,7/15/15
96,2015_Early Summer_Lower Kenai River_Chinook_Age_0,24,7/16/15
97,2015_Early Summer_Lower Kenai River_Chinook_Age_0,25,7/17/15
98,2015_Early Summer_Lower Kenai River_Chinook_Age_0,26,7/18/15
99,2015_Early Summer_Lower Kenai River_Chinook_Age_0,27,7/19/15
100,2015_Early Summer_Lower Kenai River_Chinook_Age_0,28,7/20/15
101,2015_Early Summer_Lower Kenai River_Chinook_Age_0,29,7/21/15
102,2015_Early Summer_Lower Kenai River_Chinook_Age_0,30,7/22/15
103,2015_Early Summer_Lower Kenai River_Chinook_Age_0,31,7/23/15
104,2015_Early Summer_Lower Kenai River_Coho_Age_1,1,6/23/15
105,2015_Early Summer_Lower Kenai River_Coho_Age_1,2,6/24/15
106,2015_Early Summer_Lower Kenai River_Coho_Age_1,3,6/25/15
107,2015_Early Summer_Lower Kenai River_Coho_Age_1,4,6/26/15
108,2015_Early Summer_Lower Kenai River_Coho_Age_1,5,6/27/15
109,2015_Early Summer_Lower Kenai River_Coho_Age_1,6,6/28/15
110,2015_Early Summer_Lower Kenai River_Coho_Age_1,7,6/29/15
111,2015_Early Summer_Lower Kenai River_Coho_Age_1,8,6/30/15
112,2015_Early Summer_Lower Kenai River_Coho_Age_1,9,7/1/15
113,2015_Early Summer_Lower Kenai River_Coho_Age_1,10,7/2/15
114,2015_Early Summer_Lower Kenai River_Coho_Age_1,11,7/3/15
115,2015_Early Summer_Lower Kenai River_Coho_Age_1,12,7/4/15
116,2015_Early Summer_Lower Kenai River_Coho_Age_1,13,7/5/15
117,2015_Early Summer_Lower Kenai River_Coho_Age_1,14,7/6/15
118,2015_Early Summer_Lower Kenai River_Coho_Age_1,15,7/7/15
119,2015_Early Summer_Lower Kenai River_Coho_Age_1,16,7/8/15
120,2015_Early Summer_Lower Kenai River_Coho_Age_1,17,7/9/15
121,2015_Early Summer_Lower Kenai River_Coho_Age_1,18,7/10/15
122,2015_Early Summer_Lower Kenai River_Coho_Age_1,19,7/11/15
123,2015_Early Summer_Lower Kenai River_Coho_Age_1,20,7/12/15
124,2015_Early Summer_Lower Kenai River_Coho_Age_1,21,7/13/15
125,2015_Early Summer_Lower Kenai River_Coho_Age_1,22,7/14/15
126,2015_Early Summer_Lower Kenai River_Coho_Age_1,23,7/15/15
127,2015_Early Summer_Lower Kenai River_Coho_Age_1,24,7/16/15
128,2015_Early Summer_Lower Kenai River_Coho_Age_1,25,7/17/15
129,2015_Early Summer_Lower Kenai River_Coho_Age_1,26,7/18/15
130,2015_Early Summer_Lower Kenai River_Coho_Age_1,27,7/19/15
131,2015_Early Summer_Lower Kenai River_Coho_Age_1,28,7/20/15
132,2015_Early Summer_Lower Kenai River_Coho_Age_1,29,7/21/15
133,2015_Early Summer_Lower Kenai River_Coho_Age_1,30,7/22/15
134,2015_Early Summer_Lower Kenai River_Coho_Age_1,31,7/23/15
135,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,1,6/24/15
136,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,2,6/25/15
137,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,3,6/26/15
138,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,4,6/27/15
139,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,5,6/28/15
140,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,6,6/29/15
141,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,7,6/30/15
142,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,8,7/1/15
143,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,9,7/2/15
144,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,10,7/3/15
145,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,11,7/4/15
146,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,12,7/5/15
147,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,13,7/6/15
148,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,14,7/7/15
149,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,15,7/8/15
150,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,16,7/9/15
151,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,17,7/10/15
152,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,18,7/11/15
153,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,19,7/12/15
154,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,20,7/13/15
155,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,21,7/14/15
156,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,22,7/15/15
157,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,23,7/16/15
158,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,24,7/17/15
159,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,25,7/18/15
160,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,26,7/19/15
161,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,27,7/20/15
162,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,28,7/21/15
163,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,29,7/22/15
164,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,30,7/23/15
165,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,31,7/24/15
166,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,32,7/25/15
167,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,33,7/26/15
168,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,34,7/27/15
169,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,35,7/28/15
170,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,36,7/29/15
171,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,37,7/30/15
172,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,1,6/8/15
173,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,2,6/9/15
174,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,3,6/10/15
175,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,4,6/11/15
176,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,5,6/12/15
177,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,6,6/13/15
178,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,7,6/14/15
179,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,8,6/15/15
180,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,9,6/16/15
181,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,10,6/17/15
182,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,11,6/18/15
183,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,12,6/19/15
184,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,13,6/20/15
185,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,14,6/21/15
186,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,15,6/22/15
187,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,16,6/23/15
188,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,17,6/24/15
189,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,18,6/25/15
190,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,19,6/26/15
191,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,20,6/27/15
192,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,21,6/28/15
193,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,22,6/29/15
194,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,23,6/30/15
195,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,24,7/1/15
196,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,25,7/2/15
197,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,26,7/3/15
198,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,27,7/4/15
199,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,28,7/5/15
200,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,29,7/6/15
201,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,30,7/7/15
202,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,31,7/8/15
203,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,32,7/9/15
204,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,33,7/10/15
205,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,34,7/11/15
206,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,35,7/12/15
207,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,36,7/13/15
208,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,1,6/8/15
209,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,2,6/9/15
210,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,3,6/10/15
211,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,4,6/11/15
212,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,5,6/12/15
213,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,6,6/13/15
214,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,7,6/14/15
215,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,8,6/15/15
216,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,9,6/16/15
217,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,10,6/17/15
218,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,11,6/18/15
219,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,12,6/19/15
220,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,13,6/20/15
221,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,14,6/21/15
222,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,15,6/22/15
223,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,16,6/23/15
224,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,17,6/24/15
225,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,18,6/25/15
226,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,19,6/26/15
227,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,20,6/27/15
228,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,21,6/28/15
229,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,22,6/29/15
230,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,23,6/30/15
231,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,24,7/1/15
232,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,25,7/2/15
233,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,26,7/3/15
234,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,27,7/4/15
235,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,28,7/5/15
236,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,29,7/6/15
237,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,30,7/7/15
238,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,31,7/8/15
239,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,32,7/9/15
240,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,33,7/10/15
241,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,34,7/11/15
242,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,35,7/12/15
243,2015_Early Summer_Middle Beaver Creek_Coho_Age_2,36,7/13/15
244,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,1,6/25/15
245,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,2,6/26/15
246,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,3,6/27/15
247,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,4,6/28/15
248,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,5,6/29/15
249,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,6,6/30/15
250,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,7,7/1/15
251,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,8,7/2/15
252,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,9,7/3/15
253,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,10,7/4/15
254,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,11,7/5/15
255,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,12,7/6/15
256,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,13,7/7/15
257,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,14,7/8/15
258,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,15,7/9/15
259,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,16,7/10/15
260,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,17,7/11/15
261,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,18,7/12/15
262,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,19,7/13/15
263,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,20,7/14/15
264,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,21,7/15/15
265,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,22,7/16/15
266,2015_Early Summer_Middle Russian River_Coho_Age_0,1,6/20/15
267,2015_Early Summer_Middle Russian River_Coho_Age_0,2,6/21/15
268,2015_Early Summer_Middle Russian River_Coho_Age_0,3,6/22/15
269,2015_Early Summer_Middle Russian River_Coho_Age_0,4,6/23/15
270,2015_Early Summer_Middle Russian River_Coho_Age_0,5,6/24/15
271,2015_Early Summer_Middle Russian River_Coho_Age_0,6,6/25/15
272,2015_Early Summer_Middle Russian River_Coho_Age_0,7,6/26/15
273,2015_Early Summer_Middle Russian River_Coho_Age_0,8,6/27/15
274,2015_Early Summer_Middle Russian River_Coho_Age_0,9,6/28/15
275,2015_Early Summer_Middle Russian River_Coho_Age_0,10,6/29/15
276,2015_Early Summer_Middle Russian River_Coho_Age_0,11,6/30/15
277,2015_Early Summer_Middle Russian River_Coho_Age_0,12,7/1/15
278,2015_Early Summer_Middle Russian River_Coho_Age_0,13,7/2/15
279,2015_Early Summer_Middle Russian River_Coho_Age_0,14,7/3/15
280,2015_Early Summer_Middle Russian River_Coho_Age_0,15,7/4/15
281,2015_Early Summer_Middle Russian River_Coho_Age_0,16,7/5/15
282,2015_Early Summer_Middle Russian River_Coho_Age_0,17,7/6/15
283,2015_Early Summer_Middle Russian River_Coho_Age_0,18,7/7/15
284,2015_Early Summer_Middle Russian River_Coho_Age_0,19,7/8/15
285,2015_Early Summer_Middle Russian River_Coho_Age_0,20,7/9/15
286,2015_Early Summer_Middle Russian River_Coho_Age_0,21,7/10/15
287,2015_Early Summer_Middle Russian River_Coho_Age_0,22,7/11/15
288,2015_Early Summer_Middle Russian River_Coho_Age_0,23,7/12/15
289,2015_Early Summer_Middle Russian River_Coho_Age_0,24,7/13/15
290,2015_Early Summer_Middle Russian River_Coho_Age_0,25,7/14/15
291,2015_Early Summer_Middle Russian River_Coho_Age_0,26,7/15/15
292,2015_Early Summer_Middle Russian River_Coho_Age_1,1,6/20/15
293,2015_Early Summer_Middle Russian River_Coho_Age_1,2,6/21/15
294,2015_Early Summer_Middle Russian River_Coho_Age_1,3,6/22/15
295,2015_Early Summer_Middle Russian River_Coho_Age_1,4,6/23/15
296,2015_Early Summer_Middle Russian River_Coho_Age_1,5,6/24/15
297,2015_Early Summer_Middle Russian River_Coho_Age_1,6,6/25/15
298,2015_Early Summer_Middle Russian River_Coho_Age_1,7,6/26/15
299,2015_Early Summer_Middle Russian River_Coho_Age_1,8,6/27/15
300,2015_Early Summer_Middle Russian River_Coho_Age_1,9,6/28/15
301,2015_Early Summer_Middle Russian River_Coho_Age_1,10,6/29/15
302,2015_Early Summer_Middle Russian River_Coho_Age_1,11,6/30/15
303,2015_Early Summer_Middle Russian River_Coho_Age_1,12,7/1/15
304,2015_Early Summer_Middle Russian River_Coho_Age_1,13,7/2/15
305,2015_Early Summer_Middle Russian River_Coho_Age_1,14,7/3/15
306,2015_Early Summer_Middle Russian River_Coho_Age_1,15,7/4/15
307,2015_Early Summer_Middle Russian River_Coho_Age_1,16,7/5/15
308,2015_Early Summer_Middle Russian River_Coho_Age_1,17,7/6/15
309,2015_Early Summer_Middle Russian River_Coho_Age_1,18,7/7/15
310,2015_Early Summer_Middle Russian River_Coho_Age_1,19,7/8/15
311,2015_Early Summer_Middle Russian River_Coho_Age_1,20,7/9/15
312,2015_Early Summer_Middle Russian River_Coho_Age_1,21,7/10/15
313,2015_Early Summer_Middle Russian River_Coho_Age_1,22,7/11/15
314,2015_Early Summer_Middle Russian River_Coho_Age_1,23,7/12/15
315,2015_Early Summer_Middle Russian River_Coho_Age_1,24,7/13/15
316,2015_Early Summer_Middle Russian River_Coho_Age_1,25,7/14/15
317,2015_Early Summer_Middle Russian River_Coho_Age_1,26,7/15/15
318,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,1,6/7/15
319,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,2,6/8/15
320,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,3,6/9/15
321,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,4,6/10/15
322,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,5,6/11/15
323,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,6,6/12/15
324,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,7,6/13/15
325,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,8,6/14/15
326,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,9,6/15/15
327,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,10,6/16/15
328,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,11,6/17/15
329,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,12,6/18/15
330,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,13,6/19/15
331,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,14,6/20/15
332,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,15,6/21/15
333,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,16,6/22/15
334,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,17,6/23/15
335,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,18,6/24/15
336,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,19,6/25/15
337,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,20,6/26/15
338,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,21,6/27/15
339,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,22,6/28/15
340,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,23,6/29/15
341,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,24,6/30/15
342,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,25,7/1/15
343,2015_Early Summer_Upper Beaver Creek_Coho_Age_1,26,7/2/15
344,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,1,6/7/15
345,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,2,6/8/15
346,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,3,6/9/15
347,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,4,6/10/15
348,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,5,6/11/15
349,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,6,6/12/15
350,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,7,6/13/15
351,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,8,6/14/15
352,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,9,6/15/15
353,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,10,6/16/15
354,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,11,6/17/15
355,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,12,6/18/15
356,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,13,6/19/15
357,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,14,6/20/15
358,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,15,6/21/15
359,2015_Early Summer_Upper Beaver Creek_Coho_Age_2,16,6/22/15
